index_code,industry_name,level,industry_code,is_pub,parent_code,src
801010.SI,农林牧渔,L1,110000,1,0,SW2021
801030.SI,基础化工,L1,220000,1,0,SW2021
801040.SI,钢铁,L1,230000,1,0,SW2021
801050.SI,有色金属,L1,240000,1,0,SW2021
801080.SI,电子,L1,270000,1,0,SW2021
801880.SI,汽车,L1,280000,1,0,SW2021
801110.SI,家用电器,L1,330000,1,0,SW2021
801120.SI,食品饮料,L1,340000,1,0,SW2021
801130.SI,纺织服饰,L1,350000,1,0,SW2021
801140.SI,轻工制造,L1,360000,1,0,SW2021
801150.SI,医药生物,L1,370000,1,0,SW2021
801160.SI,公用事业,L1,410000,1,0,SW2021
801170.SI,交通运输,L1,420000,1,0,SW2021
801180.SI,房地产,L1,430000,1,0,SW2021
801200.SI,商贸零售,L1,450000,1,0,SW2021
801210.SI,社会服务,L1,460000,1,0,SW2021
801780.SI,银行,L1,480000,1,0,SW2021
801790.SI,非银金融,L1,490000,1,0,SW2021
801230.SI,综合,L1,510000,1,0,SW2021
801710.SI,建筑材料,L1,610000,1,0,SW2021
801720.SI,建筑装饰,L1,620000,1,0,SW2021
801730.SI,电力设备,L1,630000,1,0,SW2021
